PrimeType,Prime,CompanionType,CompanionPrime,Digits,Attempts,UTC Timestamp,SHA256
Sophie,351098368197718318347360032781869036053682480532957795408872770691160214601072537401532298234620339188192619195778760628666264159521541098057809442601,Safe,702196736395436636694720065563738072107364961065915590817745541382320429202145074803064596469240678376385238391557521257332528319043082196115618885203,150,2822,2025-08-04 11:26:06 UTC,358dfceff1226b469b04b422397a3f7ca9493f0c03d0d8e1f11188999c1b9cfd
Safe,642988511297136924951062171652228808362820181936501664953590984844726113602392509971381287438233253718467901218547007507894249104727459807811833729199,Sophie,321494255648568462475531085826114404181410090968250832476795492422363056801196254985690643719116626859233950609273503753947124552363729903905916864599,150,8622,2025-08-04 11:26:07 UTC,a93fcf8b5a89123952fd0c2a043f75ca6decd6f44c4b479a9614a51152879754
Sophie,476813234470945563604857472418980483780404494222273336375826323219881633029275477335465967364783189134236646762045414094588425097680690014494571109969,Safe,953626468941891127209714944837960967560808988444546672751652646439763266058550954670931934729566378268473293524090828189176850195361380028989142219939,150,11469,2025-08-04 11:26:07 UTC,890c0f9a67a95788152b9b661f19ac3998913cdc86b70f1dc2f8900ceb15a959
Sophie,122923907420723975299077428382139748065511378217802739794325826044872849087038108195320562016264525407354332563210409110131509426738005364776064941949,Safe,245847814841447950598154856764279496131022756435605479588651652089745698174076216390641124032529050814708665126420818220263018853476010729552129883899,150,11544,2025-08-04 11:26:07 UTC,3d985109fbf959552d96ddccacf87524b790cab62e7b6a8b9d8086e4ce88f69c
Sophie,236860327215508527584378607832915720552648050910676932100977839286439843477055692606544023083369270810580065537617464091862595987771205654272846160473,Safe,473720654431017055168757215665831441105296101821353864201955678572879686954111385213088046166738541621160131075234928183725191975542411308545692320947,150,13006,2025-08-04 11:26:07 UTC,b435700f1009349cea06475791b29250018c7fe5cfd707e28321c2ac2717abfa
Safe,186198292790424600570834392396675867054194531933622002335775556729903425780500362487311254951633072028248084245901393010232220379724873156629420427827,Sophie,93099146395212300285417196198337933527097265966811001167887778364951712890250181243655627475816536014124042122950696505116110189862436578314710213913,150,15514,2025-08-04 11:26:07 UTC,d3125b6e48d2e7672a5060a960eb53efa45acccaa28e38cbe247510d1323ab8f
Sophie,775264649046401572685869878448134398184037320310940722456636202670138426240527851502167371029453689450355827757478128527943820060885038256762139547873,Safe,1550529298092803145371739756896268796368074640621881444913272405340276852481055703004334742058907378900711655514956257055887640121770076513524279095747,150,14883,2025-08-04 11:26:07 UTC,3ba760966765df45326fde6948de3a98b8449e925939faacd8b08abc7790c019
Sophie,237952613385074806488797237148995234567908479344589542736172356445886013485281226323351791605715553270433976192646565604597236310247010359869583928633,Safe,475905226770149612977594474297990469135816958689179085472344712891772026970562452646703583211431106540867952385293131209194472620494020719739167857267,150,16633,2025-08-04 11:26:07 UTC,15ec5625ea46cda80e8be0a5d745863dafe194ec32c5ce2719bd859d81edf0b2
Sophie,201359118435568050378846773300177331814112527465155941343345751702148839448898361076108882378652959576842037678814879795006197750659830313513143622349,Safe,402718236871136100757693546600354663628225054930311882686691503404297678897796722152217764757305919153684075357629759590012395501319660627026287244699,150,21542,2025-08-04 11:26:07 UTC,b6bb9c1158d5326d957b257f1519342823fd89c1e84385506e88baad5c9ab013
Safe,567152187600288936757351128864849120191488191229901192222873124620992062785097424580605217441840685439472030599235024615594682599451751622020795372907,Sophie,283576093800144468378675564432424560095744095614950596111436562310496031392548712290302608720920342719736015299617512307797341299725875811010397686453,150,23536,2025-08-04 11:26:07 UTC,ab673fc1e7d8ce293e195b245d95c7ebf621472e4ac89cedfa90badc5dbb64c1
Sophie,353868416965826769639020724775206958164355740977912974608505520351664941930792970527836478817904907075302796974337106175172925341224721650690744828901,Safe,707736833931653539278041449550413916328711481955825949217011040703329883861585941055672957635809814150605593948674212350345850682449443301381489657803,150,25385,2025-08-04 11:26:08 UTC,6f74a43e87767b442b9a27ff7b51f542183ecd9c1af7225072735f4fbcf3b132
Safe,488284245779429288139194493529827540801209954857961944891913009383219554215393137999964110653180847137896771467357620326020142400472576191072083730107,Sophie,244142122889714644069597246764913770400604977428980972445956504691609777107696568999982055326590423568948385733678810163010071200236288095536041865053,150,26592,2025-08-04 11:26:08 UTC,4b387962cf5a09e457b09bc4f9054cd81762f8e4aa95c87959e12733b96bd4ef
Sophie,212667135158365018477759838036447668583048477634143838399176800743630260980145895984804958821134863571271002352618892907565644789122145690311311276959,Safe,425334270316730036955519676072895337166096955268287676798353601487260521960291791969609917642269727142542004705237785815131289578244291380622622553919,150,27278,2025-08-04 11:26:08 UTC,4f7cdb2897d47931df9ed7880dd9c394bd2fe796ad5a38d246b63f972a6ab7ee
Safe,257580853495013956560441404785864309371157317436857549360053878319034544381219350681384361693763365669392576960460496114533330119070949810147405591483,Sophie,128790426747506978280220702392932154685578658718428774680026939159517272190609675340692180846881682834696288480230248057266665059535474905073702795741,150,27881,2025-08-04 11:26:08 UTC,3d147069b8a6209df54ad05fac5bfe425ded0e031d9637cced8b13a216e6d2b6
Safe,372930959563004557618597087458884911269857058640289793729707068669078368519799162308274725766842877520902243334738047146553685739302577420910348862543,Sophie,186465479781502278809298543729442455634928529320144896864853534334539184259899581154137362883421438760451121667369023573276842869651288710455174431271,150,28971,2025-08-04 11:26:08 UTC,44dd63284535c568adac9ead8e6c18bd0a1b53344b667f6d8c8dba267bec36a6
Sophie,238248271679637142413759260663958912206180903365905150622268475540251814179963035413035976489497838471925984001400229602104318927321045321033094867233,Safe,476496543359274284827518521327917824412361806731810301244536951080503628359926070826071952978995676943851968002800459204208637854642090642066189734467,150,33549,2025-08-04 11:26:08 UTC,244c7f9e21eeafc0921ab3d5c09df4b207622cd5879b74335181052a8928a6ee
Sophie,457349291850756257282099961310035730851090401766406809465443951935565270732210803185195702581846949387093842370478067362511695522209588100422026529473,Safe,914698583701512514564199922620071461702180803532813618930887903871130541464421606370391405163693898774187684740956134725023391044419176200844053058947,150,33998,2025-08-04 11:26:08 UTC,7a8fffb62f5ba6672aa196d40df319d3a186931586373eefbe83a1e0bd0d42ad
Sophie,600245173635402119585030418413769819620231685319848971713873761369377601254750784007205683791931285348249160324858681638987041859259550735790879697279,Safe,1200490347270804239170060836827539639240463370639697943427747522738755202509501568014411367583862570696498320649717363277974083718519101471581759394559,150,36659,2025-08-04 11:26:08 UTC,823d8cb91174c6838aa48dd0fe42a6e655739df09f6a745e8ac3101d0e53c384
Safe,406260567329969464617092654955594703231395491569140005315327297298838423805878949244386852250540094706033472398803742983662686464142814867824541110399,Sophie,203130283664984732308546327477797351615697745784570002657663648649419211902939474622193426125270047353016736199401871491831343232071407433912270555199,150,37885,2025-08-04 11:26:08 UTC,c165d96739403b53373cb1cda21a9bf586599240d850c739307508944d67aae6
Safe,813265710098544151722218326813545544471052566954943705067138298933227373867583028249819084667197850178340162526406125241375967678857114641524923364863,Sophie,406632855049272075861109163406772772235526283477471852533569149466613686933791514124909542333598925089170081263203062620687983839428557320762461682431,150,45539,2025-08-04 11:26:09 UTC,5e2d55b8d5b3aea6c5e83e02b1a959ae4bb3a6081d22a73fe9a64d2f14ddae8c
Safe,615360366208815685446962844209501968955320997607579434727581249783542030837567047206732495695213049726888938284454678337153116835561093252386505412539,Sophie,307680183104407842723481422104750984477660498803789717363790624891771015418783523603366247847606524863444469142227339168576558417780546626193252706269,150,48084,2025-08-04 11:26:09 UTC,45fa1895e80144080aa4d9682e98cb1cc3f987ccb5f73e0b56454be15a6b0a11
Sophie,505106072395153110947937765001996206627681039728336361048283512688031988991605813300754011116095277456615240525686554142621362425809624954275428854169,Safe,1010212144790306221895875530003992413255362079456672722096567025376063977983211626601508022232190554913230481051373108285242724851619249908550857708339,150,45675,2025-08-04 11:26:09 UTC,6ba956fd7beb55ab55f0c8fc0abcdedd01b66ffb45481b1d4b7419a8b853e5f5
Sophie,475389692925530190878245010738246776748478380836189460750886845593567844674009899825205455527936694176261389568613302293410560755508740518960265258559,Safe,950779385851060381756490021476493553496956761672378921501773691187135689348019799650410911055873388352522779137226604586821121511017481037920530517119,150,48133,2025-08-04 11:26:09 UTC,9240e1641a5e95388b167711746a3fb64d36579d948475dd25b20f30a78b1f7a
Sophie,272434695895395111683937915137596639959923106732353124677463832958837418319816812460556838314029111586126315202721320757825066001641926429122053736801,Safe,544869391790790223367875830275193279919846213464706249354927665917674836639633624921113676628058223172252630405442641515650132003283852858244107473603,150,47052,2025-08-04 11:26:09 UTC,2e0eeb602085726f50467303348fa38233c7695f570bea633be4448fd3dfe523
Sophie,579177064830803341444702265494224348627279025030797532345177806007403707225830962732583834007059323323892844869553450056060549911152596995384078814351,Safe,1158354129661606682889404530988448697254558050061595064690355612014807414451661925465167668014118646647785689739106900112121099822305193990768157628703,150,49957,2025-08-04 11:26:09 UTC,372a16af258008c632936e8433a8e7bab7d9a3b5d576715e3a54abc008cada9e
Safe,249425290438245330890284225629697777266674986222181812054085821892301770447679806286403102123722299706183322168294124245079370152406472171398901070927,Sophie,124712645219122665445142112814848888633337493111090906027042910946150885223839903143201551061861149853091661084147062122539685076203236085699450535463,150,52007,2025-08-04 11:26:09 UTC,3dfb06064a71c700fd008fe039da6989d3de4e4010906189aaa3c65a525a616d
Safe,282978774331468949255653151918906453327586929548054023088485860260880990219026934106692117704208261491919220896959390198938865491735419459192855426423,Sophie,141489387165734474627826575959453226663793464774027011544242930130440495109513467053346058852104130745959610448479695099469432745867709729596427713211,150,53724,2025-08-04 11:26:09 UTC,4b3bf4899990ea1ebedd6d4db39d56f6d6bf688cb1991229dd086f45fe0e045b
Safe,190571388101770815799801798977571735235531760938588976142767480059392007803720173642420544463378350648061872880468537952305538206999794027406377062479,Sophie,95285694050885407899900899488785867617765880469294488071383740029696003901860086821210272231689175324030936440234268976152769103499897013703188531239,150,55752,2025-08-04 11:26:09 UTC,0b09f8139afca2bbbc7888bbf948fb4387791fa281f8032ddae6c8b1a12e3bcf
Sophie,198682194058070553434970169383274100840792262706149407063682571116657651105167762151047063316575852222963976469213539523728458326540955523209256686531,Safe,397364388116141106869940338766548201681584525412298814127365142233315302210335524302094126633151704445927952938427079047456916653081911046418513373063,150,56530,2025-08-04 11:26:09 UTC,8dec5f94e4331763638ba85fe6eb45b437f6301ac4fa69e324878aa4388170f4
Sophie,601502595347648753330759075859364220383873023715472035592284304205044924522099320452550909127888242798898909114545048163759459268677380574549947524881,Safe,1203005190695297506661518151718728440767746047430944071184568608410089849044198640905101818255776485597797818229090096327518918537354761149099895049763,150,57192,2025-08-04 11:26:09 UTC,995af0711994aaa16f2911424cf0276dc0263a870f33b49a7f9c37d73ef4ef42
Safe,520249132376750553316493672873135873491725842773240655999776108182537877057774747122027837230097139311495411682829652632626687935891260994068476578143,Sophie,260124566188375276658246836436567936745862921386620327999888054091268938528887373561013918615048569655747705841414826316313343967945630497034238289071,150,65344,2025-08-04 11:26:10 UTC,894c10a3f7249e11e6d62b99ecc0e0d87ffc2d3b114444ef542c396b3ee5601a
Sophie,653773178973563570940835643860595152225960814786359018452738502485552942908637895247980527664257326967773079098999363389996253201057116852159201952453,Safe,1307546357947127141881671287721190304451921629572718036905477004971105885817275790495961055328514653935546158197998726779992506402114233704318403904907,150,75397,2025-08-04 11:26:10 UTC,a99b558dc1756171f76bfffa8906278bb968677be947d5117f5328225ab895ba
Sophie,491495359434569552798160217785397618784518991578912786168942395406035709259473316908896532328415395480623011552008046712036332192158727483523697009309,Safe,982990718869139105596320435570795237569037983157825572337884790812071418518946633817793064656830790961246023104016093424072664384317454967047394018619,150,78626,2025-08-04 11:26:10 UTC,0126002d0dcf83009d47bf94f5e7348760a2db8e0e3955631326d1d20c3488b9
